Number,Name,Latitude,Longitude
1,Aitoliko,38.4381901,21.3534552
2,Alexandroupoli,40.845692,25.8753275
3,Alexandreia,40.6280768,22.4440736
4,Almyros,39.1807614,22.7609792
5,Amaliada,37.7971312,21.35145
6,Amfilochia,38.8636709,21.1670386
7,Amorgos,36.8525242,25.898487
8,Amygdaleonas,40.9628834,24.3593442
9,Andros,37.8408347,24.8623824
10,Antikyra,38.3777739,22.6320058
11,Antiparos,36.9943528,25.0482082
12,Archaía Olympía,37.6441431,21.6252773
13,Asprovalta,40.7218963,23.7080144
14,Astypalaia,36.5489,26.3524
15,Athens,37.9839412,23.7283052
16,Aigaleo,37.9915665,23.6818754
17,Chalkida,38.4624412,23.5947651
18,Corfu,39.591337,19.8596189
19,Didymoteicho,41.3641209,26.4241863
20,Drama,41.1499443,24.1468286
21,Elliniko,37.8911026,23.7398346
22,Florina,40.7794738,21.4076115
23,Folegandros,36.6298035,24.9143879
24,Glyfada,37.8615966,23.7545902
25,Ioannina,39.6639818,20.8522784
26,Thessaloniki,40.629269,22.947412
27,Ithaki,38.4018961,20.6700929
28,Kalamata,37.0377582,22.1109392
29,Kalampaka,39.7070178,21.6279431
30,Kamariotissa,40.4752931,25.4735497
31,Kamena Vourla,38.7801344,22.7887006
32,Karditsa,39.3639689,21.9213213
33,Kastoria,40.5171556,21.2688435
34,Katerini,40.2713616,22.5087618
35,Kavala,40.9369224,24.4122766
36,Kifisia,38.0915321,23.7912825
37,Komotini,41.117833,25.4041307
38,Kos,36.7936933,27.0848266
39,Koufalia,40.7786437,22.5775615
40,Kozani,40.3007259,21.7883119
41,Korinthos,37.9386936,22.9280447
42,Lamia,38.9004584,22.4341691
43,Lefkada,38.7065734,20.6417089
44,Lixouri,38.2012947,20.4373657
45,Orestiada,41.5036382,26.528601
46,Piraeus,37.9431594,23.6470593
47,Preveza,38.9589226,20.7496811
48,Paros,37.0651048,25.1921674
49,Patra,38.246242,21.7350847
50,Chaniá,35.513828,24.018038